"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GA3","GA4","GF1","KA1","MA1","MW1","MW2","MW3","OC1","REM","EQD"
"01044099999","2010-07-26T13:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","130,1,N,0041,1","22000,1,9,N","011265,1,N,1","+0110,1","+0090,1","99999,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,"10180,1,99999,9","40,1",,,,"MET053METAR ENHK 261350Z 13008KT 9999 VCFG NSC 11/09 Q1018;","Q01    003SCCGA1"
"01044099999","2010-07-27T03:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","110,1,N,0051,1","02550,5,C,N","011265,1,N,1","+0150,1","+0090,1","99999,9","02,5,+01350,1,99,9","07,5,+02550,5,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10119,1,99999,9",,,,,"MET058METAR ENHK 270320Z 11010KT 9999 FEW045 BKN085 15/09 Q1012;",
"01044099999","2010-07-27T03:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","120,1,N,0051,1","02400,1,C,N","011265,1,N,1","+0140,1","+0090,1","99999,9","02,5,+01350,1,99,9","07,5,+02400,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10108,1,99999,9",,,,,"MET058METAR ENHK 270350Z 12010KT 9999 FEW045 BKN080 14/09 Q1011;",
"01044099999","2010-07-27T04:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","130,1,N,0041,1","02250,5,C,N","011265,1,N,1","+0140,1","+0090,1","99999,9","02,5,+01200,1,99,9","07,5,+02250,5,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10108,1,99999,9","61,1",,,,"MET062METAR ENHK 270450Z 13008KT 9999 -RA FEW040 BKN075 14/09 Q1011;",
"01044099999","2010-07-27T06:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","110,1,N,0072,1","99999,9,9,Y","009900,1,N,1","+0160,1","+0110,1","99999,9",,,,,,,"10102,1,99999,9",,,,,"MET045METAR ENHK 270650Z 11014KT CAVOK 16/11 Q1010;",
"01044099999","2010-07-27T09:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","100,1,N,0077,1","02550,5,C,N","011265,1,N,1","+0180,1","+0120,1","99999,9","02,5,+00750,1,99,9","07,5,+02550,5,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10091,1,99999,9",,,,,"MET058METAR ENHK 270920Z 10015KT 9999 FEW025 BKN085 18/12 Q1009;",
"01044099999","2010-07-27T11:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","300,1,N,0026,1","01800,1,C,N","011265,1,N,1","+0170,1","+0110,1","99999,9","02,5,+01110,1,99,9","04,5,+01860,5,99,9","07,5,+02550,5,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10091,1,99999,9",,,,,"MET065METAR ENHK 271120Z 30005KT 9999 FEW037 SCT062 BKN085 17/11 Q1009;",
"01044099999","2010-07-27T11:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","290,1,N,0026,1","01800,1,C,N","011265,1,N,1","+0180,1","+0120,1","99999,9","02,5,+01260,1,99,9","04,5,+01860,5,99,9","07,5,+02550,5,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10091,1,99999,9",,,,,"MET065METAR ENHK 271150Z 29005KT 9999 FEW042 SCT062 BKN085 18/12 Q1009;",
"01044099999","2010-07-27T12:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","290,1,N,0031,1","01500,1,C,N","011265,1,N,1","+0160,1","+0100,1","99999,9","02,5,+01050,1,99,9","04,5,+01740,5,99,9","07,5,+02160,5,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10091,1,99999,9",,,,,"MET065METAR ENHK 271250Z 29006KT 9999 FEW035 SCT058 BKN072 16/10 Q1009;",
"01044099999","2010-07-27T13:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","280,1,N,0041,1","01440,1,C,N","011265,1,N,1","+0160,1","+0100,1","99999,9","02,5,+00900,1,99,9","04,5,+01440,1,99,9","07,5,+02340,5,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10091,1,99999,9",,,,,"MET065METAR ENHK 271350Z 28008KT 9999 FEW030 SCT048 BKN078 16/10 Q1009;",
"01044099999","2010-07-28T02:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","300,1,N,0051,1","00090,1,C,N","003000,1,N,1","+0100,1","+0090,1","99999,9","08,5,+00090,1,99,9",,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,"10102,1,99999,9","10,1","53,1",,,"MET057METAR ENHK 280250Z 30010KT 3000 DZ BR OVC003 10/09 Q1010;",
"01044099999","2010-07-28T03:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","290,1,N,0062,1","00150,1,C,N","003000,1,N,1","+0100,1","+0090,1","99999,9","04,5,+00060,1,99,9","08,5,+00150,1,99,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,"10102,1,99999,9","10,1","53,1","63,1",,"MET066METAR ENHK 280320Z 29012KT 3000 RADZ BR SCT002 OVC005 10/09 Q1010;",
"01044099999","2010-07-28T03:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","280,1,N,0067,1","00150,1,C,N","005000,1,N,1","+0100,1","+0090,1","99999,9","04,5,+00060,1,99,9","07,5,+00150,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10102,1,99999,9","53,1","63,1",,,"MET063METAR ENHK 280350Z 28013KT 5000 RADZ SCT002 BKN005 10/09 Q1010;",
"01044099999","2010-07-28T04:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","310,1,N,0046,1","00120,1,C,N","007000,1,N,1","+0100,1","+0090,1","99999,9","07,5,+00120,1,99,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10108,1,99999,9","53,1","63,1",,,"MET056METAR ENHK 280450Z 31009KT 7000 RADZ BKN004 10/09 Q1011;",
"01044099999","2010-07-28T05:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","290,1,N,0057,1","00150,1,C,N","005000,1,N,1","+0110,1","+0100,1","99999,9","04,5,+00090,1,99,9","07,5,+00150,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10108,1,99999,9","53,1","63,1",,,"MET063METAR ENHK 280520Z 29011KT 5000 RADZ SCT003 BKN005 11/10 Q1011;",
"01044099999","2010-07-28T11:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","300,1,N,0015,1","00090,5,9,N","999999,9,N,1","+0120,1","+0110,1","99999,9","04,5,+00030,5,99,9","07,5,+00090,5,99,9",,,,,"10140,1,99999,9",,,,,"MET060METAR ENHK 281150Z 30003KT -DZ BR SCT001 BKN003 12/11 Q1014;",
"01044099999","2010-07-28T12:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","290,1,N,0021,1","00090,1,C,N","003000,1,N,1","+0120,1","+0110,1","99999,9","02,5,+00030,1,99,9","04,5,+00090,1,99,9","07,5,+00300,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10139,1,99999,9","10,1","51,1",,,"MET072METAR ENHK 281220Z 29004KT 3000 -DZ BR FEW001 SCT003 BKN010 12/11 Q1014;",
"01044099999","2010-07-28T12:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","290,1,N,0021,1","00150,1,C,N","008000,1,N,1","+0120,1","+0110,1","99999,9","02,5,+00030,1,99,9","04,5,+00150,1,99,9","07,5,+00330,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10139,1,99999,9","51,1",,,,"MET077METAR ENHK 281250Z 29004KT 260V330 8000 -DZ FEW001 SCT005 BKN011 12/11 Q1014;",
"01044099999","2010-07-28T13:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","290,1,N,0031,1","00210,1,C,N","008000,1,N,1","+0120,1","+0110,1","99999,9","04,5,+00060,1,99,9","07,5,+00210,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10139,1,99999,9","61,1",,,,"MET062METAR ENHK 281320Z 29006KT 8000 -RA SCT002 BKN007 12/11 Q1014;",
"01044099999","2010-07-28T14:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","330,1,N,0041,1","00090,1,C,N","008000,1,N,1","+0120,1","+0100,1","99999,9","02,5,+00030,1,99,9","04,5,+00090,1,99,9","07,5,+00210,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10139,1,99999,9","53,1",,,,"MET068METAR ENHK 281420Z 33008KT 8000 DZ FEW001 SCT003 BKN007 12/10 Q1014;",
"01044099999","2010-07-29T03:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","999,9,V,0010,1","00390,1,C,N","011265,1,N,1","+0110,1","+0100,1","99999,9","04,5,+00150,1,99,9","07,5,+00390,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10169,1,99999,9","40,1",,,,"MET063METAR ENHK 290320Z VRB02KT 9999 VCFG SCT005 BKN013 11/10 Q1017;",
"01044099999","2010-07-29T03:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","120,1,N,0021,1","00390,1,C,N","011265,1,N,1","+0110,1","+0100,1","99999,9","04,5,+00150,1,99,9","07,5,+00390,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10159,1,99999,9","40,1",,,,"MET063METAR ENHK 290350Z 12004KT 9999 VCFG SCT005 BKN013 11/10 Q1016;",
"01044099999","2010-07-29T04:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","100,1,N,0010,1","00210,1,C,N","011265,1,N,1","+0110,1","+0100,1","99999,9","02,5,+00150,1,99,9","04,5,+00210,1,99,9","07,5,+00390,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10169,1,99999,9","40,1",,,,"MET070METAR ENHK 290450Z 10002KT 9999 VCFG FEW005 SCT007 BKN013 11/10 Q1017;",
"01044099999","2010-07-29T06:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","140,1,N,0015,1","00120,1,C,N","008000,1,N,1","+0110,1","+0100,1","99999,9","02,5,+00030,1,99,9","04,5,+00120,1,99,9","07,5,+00300,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10169,1,99999,9","40,1","51,1",,,"MET082METAR ENHK 290650Z 14003KT 120V210 8000 -DZ VCFG FEW001 SCT004 BKN010 11/10 Q1017;",
"01044099999","2010-07-29T07:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","290,1,N,0015,1","00300,1,C,N","011265,1,N,1","+0110,1","+0100,1","99999,9","04,5,+00090,1,99,9","07,5,+00300,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10169,1,99999,9","40,1",,,,"MET063METAR ENHK 290750Z 29003KT 9999 VCFG SCT003 BKN010 11/10 Q1017;",
"01044099999","2010-07-29T09:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","120,1,N,0021,1","00330,1,C,N","011265,1,N,1","+0120,1","+0100,1","99999,9","04,5,+00150,1,99,9","07,5,+00330,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10169,1,99999,9","40,1",,,,"MET063METAR ENHK 290950Z 12004KT 9999 VCFG SCT005 BKN011 12/10 Q1017;",
"01044099999","2010-07-29T10:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","999,9,9,9999,9","00300,5,9,N","011265,1,N,1","+0120,1","+0100,1","99999,9","04,5,+00150,5,99,9","07,5,+00300,5,99,9",,,,,"10170,1,99999,9",,,,,"MET057METAR ENHK 291050Z 3004KT 9999 SCT005 BKN010 12/10 Q1017;",
"01044099999","2010-07-29T11:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","999,9,V,0010,1","00180,1,C,N","011265,1,N,1","+0130,1","+0110,1","99999,9","07,5,+00180,1,99,9","07,5,+00510,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10180,1,99999,9",,,,,"MET058METAR ENHK 291150Z VRB02KT 9999 BKN006 BKN017 13/11 Q1018;",
"01044099999","2010-07-29T12:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","300,1,N,0026,1","00570,1,C,N","011265,1,N,1","+0130,1","+0110,1","99999,9","02,5,+00270,1,99,9","04,5,+00570,1,99,9","07,5,+00900,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10169,1,99999,9",,,,,"MET065METAR ENHK 291250Z 30005KT 9999 FEW009 SCT019 BKN030 13/11 Q1017;",
