"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GA3","GA4","GF1","KA1","MA1","MW1","MW2","MW3","OC1","REM","EQD"
"01044099999","2006-01-02T09:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","160,1,N,0021,1","00090,5,C,N","011265,1,N,1","-0020,1","-0040,1","99999,9","04,5,+00060,5,99,9","08,5,+00090,5,99,9","02,5,+00450,5,99,9","07,5,+00660,5,99,9","07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10129,1,99999,9",,,,,"MET108ENHK 020950Z 16004KT 9999 FEW015 BKN022 M02/M04 Q101320950Z 32002KT 1800 -SN BR SCT002 OVC003 M01/M01 Q1015;","Q01+000000PRSWM1"
"01044099999","2006-01-02T11:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","070,1,N,0026,1","00660,1,C,N","011265,1,N,1","-0010,1","-0040,1","99999,9","02,5,+00450,1,99,9","07,5,+00660,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10139,1,99999,9",,,,,"MET054ENHK 021150Z 07005KT 9999 FEW015 BKN022 M01/M04 Q1014;","Q01+000000PRSWM1"
"01044099999","2006-01-02T12:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","080,1,N,0021,1","00750,1,C,N","011265,1,N,1","-0010,1","-0040,1","99999,9","02,5,+00450,1,99,9","07,5,+00750,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10139,1,99999,9",,,,,"MET062ENHK 021220Z 08004KT 020V140 9999 FEW015 BKN025 M01/M04 Q1014;","Q01+000000PRSWM1"
"01044099999","2006-01-02T12:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","999,9,V,0010,1","00750,1,C,N","011265,1,N,1","-0010,1","-0040,1","99999,9","02,5,+00450,1,99,9","07,5,+00750,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10139,1,99999,9",,,,,"MET054ENHK 021250Z VRB02KT 9999 FEW015 BKN025 M01/M04 Q1014;","Q01+000000PRSWM1"
"01044099999","2006-01-02T13:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","070,1,N,0026,1","00660,1,C,N","011265,1,N,1","-0010,1","-0040,1","99999,9","02,5,+00390,1,99,9","07,5,+00660,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10149,1,99999,9",,,,,"MET054ENHK 021350Z 07005KT 9999 FEW013 BKN022 M01/M04 Q1015;","Q01+000000PRSWM1"
"01044099999","2006-01-02T14:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","070,1,N,0026,1","00930,1,C,N","011265,1,N,1","-0010,1","-0030,1","99999,9","02,5,+00450,1,99,9","07,5,+00930,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10149,1,99999,9","71,1",,,,"MET058ENHK 021420Z 07005KT 9999 -SN FEW015 BKN031 M01/M03 Q1015;","Q01+000000PRSWM1"
"01044099999","2006-01-03T03:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","100,1,N,0062,1","22000,1,9,N","011265,1,N,1","-0010,1","-0030,1","99999,9","02,5,+00750,1,99,9",,,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,"10220,1,99999,9",,,,,"MET053METAR ENHK 030350Z 10012KT 9999 FEW025 M01/M03 Q1022;","Q01+000000PRSWM1"
"01044099999","2006-01-03T04:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","090,1,N,0057,1","22000,1,9,N","011265,1,N,1","-0010,1","-0030,1","99999,9","02,5,+00750,1,99,9",,,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,"10220,1,99999,9",,,,,"MET047ENHK 030420Z 09011KT 9999 FEW025 M01/M03 Q1022;","Q01+000000PRSWM1"
"01044099999","2006-01-03T04:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","090,1,N,0072,1","22000,1,9,N","011265,1,N,1","-0010,1","-0040,1","99999,9","02,5,+00750,1,99,9",,,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,"10220,1,99999,9",,,,,"MET047ENHK 030450Z 09014KT 9999 FEW025 M01/M04 Q1022;","Q01+000000PRSWM1"
"01044099999","2006-01-03T05:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","090,1,N,0062,1","22000,1,9,N","011265,1,N,1","-0010,1","-0040,1","99999,9","02,5,+00750,1,99,9",,,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,"10220,1,99999,9",,,,,"MET047ENHK 030550Z 09012KT 9999 FEW025 M01/M04 Q1022;","Q01+000000PRSWM1"
"01044099999","2006-01-03T06:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","100,1,N,0072,1","99999,9,C,Y","009900,1,N,1","-0010,1","-0040,1","99999,9",,,,,,,"10220,1,99999,9",,,,,"MET041ENHK 030650Z 10014KT CAVOK M01/M04 Q1022;","Q01+000000PRSWM1"
"01044099999","2006-01-03T07:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","110,1,N,0082,1","99999,9,C,Y","009900,1,N,1","+0000,1","-0040,1","99999,9",,,,,,,"10230,1,99999,9",,,,,"MET041ENHK 030750Z 11016KT CAVOK M00/M04 Q1023;","Q01+000000PRSWM1"
"01044099999","2006-01-03T08:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","100,1,N,0077,1","99999,9,C,Y","009900,1,N,1","+0000,1","-0050,1","99999,9",,,,,,,"10230,1,99999,9",,,,,"MET041ENHK 030820Z 10015KT CAVOK M00/M05 Q1023;","Q01+000000PRSWM1"
"01044099999","2006-01-03T08:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","100,1,N,0077,1","99999,9,C,Y","009900,1,N,1","+0000,1","-0050,1","99999,9",,,,,,,"10230,1,99999,9",,,,,"MET041ENHK 030850Z 10015KT CAVOK M00/M05 Q1023;","Q01+000000PRSWM1"
"01044099999","2006-01-03T09:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","100,1,N,0077,1","99999,9,C,Y","009900,1,N,1","+0000,1","-0040,1","99999,9",,,,,,,"10240,1,99999,9",,,,,"MET041ENHK 030920Z 10015KT CAVOK M00/M04 Q1024;","Q01+000000PRSWM1"
"01044099999","2006-01-03T09:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","110,1,N,0087,1","99999,9,C,Y","009900,1,N,1","+0000,1","-0040,1","99999,9",,,,,,,"10240,1,99999,9",,,,,"MET041ENHK 030950Z 11017KT CAVOK M00/M04 Q1024;","Q01+000000PRSWM1"
"01044099999","2006-01-03T12:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","100,1,N,0123,1","99999,9,C,Y","009900,1,N,1","+0000,1","-0030,1","99999,9",,,,,,,"10240,1,99999,9",,,,,"MET041ENHK 031250Z 10024KT CAVOK M00/M03 Q1024;","Q01+000000PRSWM1"
"01044099999","2006-01-03T13:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","110,1,N,0113,1","99999,9,C,Y","009900,1,N,1","+0000,1","-0040,1","99999,9",,,,,,,"10240,1,99999,9",,,,,"MET041ENHK 031320Z 11022KT CAVOK M00/M04 Q1024;","Q01+000000PRSWM1"
"01044099999","2006-01-03T13:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","120,1,N,0087,1","99999,9,C,Y","009900,1,N,1","+0000,1","-0040,1","99999,9",,,,,,,"10240,1,99999,9",,,,,"MET041ENHK 031350Z 12017KT CAVOK M00/M04 Q1024;","Q01+000000PRSWM1"
"01044099999","2006-01-03T14:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","100,1,N,0108,1","99999,9,C,Y","009900,1,N,1","+0000,1","-0050,1","99999,9",,,,,,,"10240,1,99999,9",,,,,"MET040ENHK 031450Z 10021KT CAVOK 00/M05 Q1024;","Q01+000000PRSWM1"
"01044099999","2006-01-03T15:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","100,1,N,0103,1","99999,9,C,Y","009900,1,N,1","-0010,1","-0050,1","99999,9",,,,,,,"10240,1,99999,9",,,,,"MET041ENHK 031520Z 10020KT CAVOK M01/M05 Q1024;","Q01+000000PRSWM1"
"01044099999","2006-01-03T15:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","110,1,N,0113,1","99999,9,C,Y","009900,1,N,1","+0000,1","-0040,1","99999,9",,,,,,,"10240,1,99999,9",,,,,"MET049ENHK 031550Z 11022KT 080V140 CAVOK M00/M04 Q1024;","Q01+000000PRSWM1"
"01044099999","2006-01-04T04:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","140,1,N,0067,1","00660,1,C,N","011265,1,N,1","+0020,1","-0030,1","99999,9","02,5,+00360,1,99,9","07,5,+00660,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10251,1,99999,9","71,1",,,,"MET057ENHK 040420Z 14013KT 9999 -SN FEW012 BKN022 02/M03 Q1025;","Q01+000000PRSWM1"
"01044099999","2006-01-04T04:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","110,1,N,0057,1","00750,1,C,N","011265,1,N,1","+0010,1","-0030,1","99999,9","02,5,+00450,1,99,9","07,5,+00750,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10251,1,99999,9",,,,,"MET053ENHK 040450Z 11011KT 9999 FEW015 BKN025 01/M03 Q1025;","Q01+000000PRSWM1"
"01044099999","2006-01-04T05:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","100,1,N,0062,1","00540,1,C,N","006000,1,N,1","+0010,1","-0020,1","99999,9","04,5,+00360,1,99,9","07,5,+00540,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10251,1,99999,9",,,,,"MET056ENHK 040520Z 10012KT 6000 SN SCT012 BKN018 01/M02 Q1025;","Q01+000000PRSWM1"
"01044099999","2006-01-04T05:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","100,1,N,0057,1","00480,1,C,N","011265,1,N,1","+0010,1","-0010,1","99999,9","02,5,+00360,1,99,9","04,5,+00480,1,99,9","07,5,+00900,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10251,1,99999,9","16,1",,,,"MET065ENHK 040550Z 10011KT 9999 VCSH FEW012 SCT016 BKN030 01/M01 Q1025;","Q01+000000PRSWM1"
"01044099999","2006-01-04T06:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","110,1,N,0062,1","00600,1,C,N","011265,1,N,1","+0010,1","-0010,1","99999,9","02,5,+00360,1,99,9","04,5,+00600,1,99,9","07,5,+01200,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10251,1,99999,9","16,1",,,,"MET065ENHK 040620Z 11012KT 9999 VCSH FEW012 SCT020 BKN040 01/M01 Q1025;","Q01+000000PRSWM1"
"01044099999","2006-01-04T06:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","100,1,N,0067,1","99999,9,C,N","011265,1,N,1","+0010,1","-0010,1","99999,9","02,5,+00360,1,99,9","04,5,+01050,1,99,9",,,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,"10251,1,99999,9",,,,,"MET053ENHK 040650Z 10013KT 9999 FEW012 SCT035 01/M01 Q1025;","Q01+000000PRSWM1P01 010503SCOCIG"
"01044099999","2006-01-04T07:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","110,1,N,0062,1","22000,1,9,N","011265,1,N,1","+0020,1","-0010,1","99999,9","04,5,+00900,5,99,9",,,,,,"10250,1,99999,9",,,,,"MET046ENHK 040750Z 11012KT 9999 SCT030 02/M01 Q1025;","Q01+000000PRSWM1"
"01044099999","2006-01-04T08:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","100,1,N,0046,1","01620,5,C,N","011265,1,N,1","+0020,1","+0000,1","99999,9","02,5,+00750,1,99,9","07,5,+01620,5,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10251,1,99999,9",,,,,"MET053ENHK 040820Z 10009KT 9999 FEW025 BKN054 02/M00 Q1025;","Q01+000000PRSWM1"
"01044099999","2006-01-04T08:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","100,1,N,0036,1","01350,1,C,N","011265,1,N,1","+0020,1","-0010,1","99999,9","02,5,+00900,1,99,9","07,5,+01350,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10261,1,99999,9",,,,,"MET061ENHK 040850Z 10007KT 060V130 9999 FEW030 BKN045 02/M01 Q1026;","Q01+000000PRSWM1"
"01044099999","2006-01-04T09:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","090,1,N,0041,1","22000,1,9,N","011265,1,N,1","+0020,1","-0010,1","99999,9","04,5,+01350,5,99,9",,,,,,"10260,1,99999,9",,,,,"MET046ENHK 040920Z 09008KT 9999 SCT045 02/M01 Q1026;","Q01+000000PRSWM1"
"01044099999","2006-01-04T09:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","120,1,N,0036,1","01350,1,C,N","011265,1,N,1","+0030,1","+0000,1","99999,9","07,5,+01350,1,99,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10261,1,99999,9",,,,,"MET054ENHK 040950Z 12007KT 080V160 9999 BKN045 03/M00 Q1026;","Q01+000000PRSWM1"
"01044099999","2006-01-04T10:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","130,1,N,0051,1","01350,1,C,N","011265,1,N,1","+0030,1","+0000,1","99999,9","02,5,+00900,1,99,9","07,5,+01350,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10261,1,99999,9",,,,,"MET060ENHK 041020Z 13010KT 100V180 9999 FEW030 BKN045 03/00 Q1026;","Q01+000000PRSWM1"
"01044099999","2006-01-04T10:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","090,1,N,0041,1","01800,5,9,N","011265,1,N,1","+0030,1","-0010,1","99999,9","04,5,+00900,5,99,9","07,5,+01800,5,99,9",,,,,"10250,1,99999,9",,,,,"MET053ENHK 041050Z 09008KT 9999 SCT030 BKN060 03/M01 Q1025;","Q01+000000PRSWM1"
"01044099999","2006-01-04T12:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","150,1,N,0026,1","01200,1,C,N","011265,1,N,1","+0040,1","-0010,1","99999,9","07,5,+01200,1,99,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10261,1,99999,9",,,,,"MET054ENHK 041250Z 15005KT 120V230 9999 BKN040 04/M01 Q1026;","Q01+000000PRSWM1"
"01044099999","2006-01-04T13:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","240,1,N,0021,1","01200,1,C,N","011265,1,N,1","+0050,1","+0000,1","99999,9","07,5,+01200,1,99,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10251,1,99999,9",,,,,"MET053ENHK 041350Z 24004KT 160V290 9999 BKN040 05/00 Q1025;","Q01+000000PRSWM1"
"01044099999","2006-01-04T14:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","110,1,N,0015,1","01800,5,9,N","011265,1,N,1","+0050,1","+0000,1","99999,9","04,5,+01140,5,99,9","07,5,+01800,5,99,9",,,,,"10250,1,99999,9",,,,,"MET060ENHK 041420Z 11003KT 040V170 9999 SCT038 BKN060 05/00 Q1025;","Q01+000000PRSWM1"
"01044099999","2006-01-04T14:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","100,1,N,0015,1","00750,5,C,N","011265,1,N,1","+0030,1","+0020,1","99999,9","04,5,+00420,5,99,9","07,5,+00750,5,99,9","07,5,+01140,5,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"99999,9,99999,9",,,,,"MET090ENHK 041450Z 10003KT 050V170 9999 BKN038 05/8009KT 150V210 9999 SCT014 BKN025 03/02 Q1038;","Q01+000000PRSWM1Q02 103803APOA  "
"01044099999","2006-01-04T15:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","230,1,N,0041,1","01800,5,9,N","011265,1,N,1","+0060,1","+0000,1","99999,9","04,5,+01140,5,99,9","07,5,+01800,5,99,9",,,,,"10250,1,99999,9",,,,,"MET060ENHK 041520Z 23008KT 190V260 9999 SCT038 BKN060 06/00 Q1025;","Q01+000000PRSWM1"
"01044099999","2006-01-05T03:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","260,1,N,0129,1","00390,1,C,N","011265,1,N,1","+0070,1","+0040,1","99999,9","02,5,+00300,1,99,9","04,5,+00390,1,99,9","07,5,+00600,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10190,1,99999,9","63,1",,,"0190,1","MET073ENHK 050350Z 26025G37KT 210V290 9999 RA FEW010 SCT013 BKN020 07/04 Q1019;","Q01+000000PRSWM1"
"01044099999","2006-01-05T04:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","260,1,N,0134,1","00600,1,C,N","011265,1,N,1","+0070,1","+0050,1","99999,9","04,5,+00420,1,99,9","07,5,+00600,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10200,1,99999,9","61,1",,,"0195,1","MET067ENHK 050420Z 26026G38KT 230V290 9999 -RA SCT014 BKN020 07/05 Q1020;","Q01+000000PRSWM1"
"01044099999","2006-01-05T04:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","260,1,N,0134,1","00600,1,C,N","011265,1,N,1","+0070,1","+0040,1","99999,9","04,5,+00360,1,99,9","07,5,+00600,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10200,1,99999,9","61,1",,,"0195,1","MET067ENHK 050450Z 26026G38KT 230V290 9999 -RA SCT012 BKN020 07/04 Q1020;","Q01+000000PRSWM1"
"01044099999","2006-01-05T12:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","260,1,N,0134,1","00750,1,C,N","011265,1,N,1","+0070,1","+0040,1","99999,9","04,5,+00450,1,99,9","07,5,+00750,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10251,1,99999,9","61,1",,,"0206,1","MET067ENHK 051220Z 26026G40KT 230V290 9999 -RA SCT015 BKN025 07/04 Q1025;","Q01+000000PRSWM1"
"01044099999","2006-01-05T13:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","260,1,N,0139,1","00450,1,C,N","011265,1,N,1","+0070,1","+0030,1","99999,9","02,5,+00360,1,99,9","04,5,+00450,1,99,9","07,5,+01020,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10251,1,99999,9","61,1",,,"0206,1","MET074ENHK 051320Z 26027G40KT 230V290 9999 -RA FEW012 SCT015 BKN034 07/03 Q1025;","Q01+000000PRSWM1"
"01044099999","2006-01-05T13:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","270,1,N,0129,1","00960,1,C,N","011265,1,N,1","+0070,1","+0030,1","99999,9","04,5,+00450,1,99,9","07,5,+00960,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10261,1,99999,9","61,1",,,"0195,1","MET067ENHK 051350Z 27025G38KT 240V300 9999 -RA SCT015 BKN032 07/03 Q1026;","Q01+000000PRSWM1"
"01044099999","2006-01-05T14:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","270,1,N,0134,1","00450,1,C,N","011265,1,N,1","+0070,1","+0020,1","99999,9","02,5,+00390,1,99,9","04,5,+00450,1,99,9","07,5,+00750,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10261,1,99999,9","61,1",,,"0206,1","MET074ENHK 051420Z 27026G40KT 230V300 9999 -RA FEW013 SCT015 BKN025 07/02 Q1026;","Q01+000000PRSWM1"
"01044099999","2006-01-05T14:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","260,1,N,0123,1","00750,1,C,N","011265,1,N,1","+0070,1","+0020,1","99999,9","04,5,+00450,1,99,9","07,5,+00750,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10261,1,99999,9","61,1",,,"0201,1","MET067ENHK 051450Z 26024G39KT 230V290 9999 -RA SCT015 BKN025 07/02 Q1026;","Q01+000000PRSWM1"
"01044099999","2006-01-05T15:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","270,1,N,0123,1","00960,5,9,N","011265,1,N,1","+0070,1","+0030,1","99999,9","04,5,+00600,5,99,9","07,5,+00960,5,99,9",,,,,"10270,1,99999,9",,,,"0180,1","MET063ENHK 051520Z 27024G35KT 240V300 9999 SCT020 BKN032 07/03 Q1027;","Q01+000000PRSWM1"
