"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GA3","GE1","GF1","KA1","KA2","MA1","MD1","MW1","MW2","MW3","OC1","OD1","OD2","REM","EQD"
"01044099999","2021-01-01T18:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","99999","V020","100,1,N,0057,1","99999,9,9,N","009999,1,9,9","-0010,1","-0040,1","99999,9","02,1,+00610,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9",,,"10150,1,99999,9",,,,,,,,"MET053METAR ENHK 011820Z 10011KT 9999 FEW020 M01/M04 Q1015=",
"01044099999","2021-01-01T18:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","99999","V020","100,1,N,0062,1","99999,9,9,N","009999,1,9,9","-0010,1","-0040,1","99999,9","02,1,+00610,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9",,,"10150,1,99999,9",,,,,,,,"MET053METAR ENHK 011850Z 10012KT 9999 FEW020 M01/M04 Q1015=",
"01044099999","2021-01-01T19:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","99999","V020","110,1,N,0062,1","99999,9,9,N","009999,1,9,9","+0000,1","-0040,1","99999,9","02,1,+00610,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9",,,"10150,1,99999,9",,,,,,,,"MET053METAR ENHK 011950Z 11012KT 9999 FEW020 M00/M04 Q1015=",
"01044099999","2021-01-01T21:00:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-12","99999","V020","090,1,N,0049,1","99999,9,9,9","999999,9,9,9","-0002,1","-0037,1","10156,1",,,,,,"010,M,+0001,1","010,N,-0005,1","99999,9,10147,1","0,1,001,1,+999,9",,,,"0089,1","4,01,0089,1,091","9,99,0085,1,999","SYN004BUFR",
"01044099999","2021-01-01T22:00:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-12","99999","V020","094,1,N,0015,1","99999,9,9,9","999999,9,9,9","-0004,1","-0038,1","10156,1",,,,,,"010,M,-0002,1","010,N,-0006,1","99999,9,10147,1","7,1,002,1,+999,9",,,,"0057,1","4,01,0057,1,085","9,99,0050,1,999","SYN004BUFR",
"01044099999","2021-01-02T03:00:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-12","99999","V020","121,1,N,0039,1","99999,9,9,9","999999,9,9,9","+0005,1","-0041,1","10155,1",,,,,,"010,M,+0008,1","010,N,+0000,1","99999,9,10146,1","2,1,002,1,+999,9",,,,"0082,1","4,01,0082,1,117","9,99,0068,1,999","SYN004BUFR",
"01044099999","2021-01-02T05:00:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-12","99999","V020","128,1,N,0056,1","99999,9,9,9","999999,9,9,9","+0000,1","-0053,1","10159,1",,,,,,"010,M,+0004,1","010,N,-0001,1","99999,9,10150,1","2,1,005,1,+999,9",,,,"0093,1","4,01,0093,1,115","9,99,0072,1,999","SYN004BUFR",
"01044099999","2021-01-02T13:00:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-12","99999","V020","148,1,N,0017,1","99999,9,9,9","999999,9,9,9","-0007,1","-0050,1","10174,1",,,,,,"010,M,-0004,1","010,N,-0009,1","99999,9,10165,1","0,1,004,1,+999,9",,,,,"4,01,0031,1,168","9,99,0023,1,999","SYN004BUFR",
"01044099999","2021-01-02T15:00:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-12","99999","V020","157,1,N,0023,1","99999,9,9,9","999999,9,9,9","+0001,1","-0042,1","10180,1",,,,,,"010,M,+0001,1","010,N,-0006,1","99999,9,10171,1","3,1,004,1,+999,9",,,,,"4,01,0036,1,165","9,99,0023,1,999","SYN004BUFR",
"01044099999","2021-01-02T17:00:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-12","99999","V020","220,1,N,0022,1","99999,9,9,9","999999,9,9,9","+0000,1","-0054,1","10188,1",,,,,,"010,M,+0001,1","010,N,-0003,1","99999,9,10179,1","2,1,011,1,+999,9",,,,,"4,01,0037,1,242","9,99,0023,1,999","SYN004BUFR",
