{'01044099999': -10.0, '02293099999': -27.6}
         395640 function calls (390840 primitive calls) in 6.386 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.008    0.003 utils.py:1(<module>)
  612/586    0.005    0.000    0.008    0.000 {built-in method __new__ of type object at 0x106294058}
        1    0.000    0.000    0.008    0.008 _policybase.py:1(<module>)
        3    0.000    0.000    0.008    0.003 __init__.py:71(import_module)
        1    0.000    0.000    0.008    0.008 compat.py:30(_resolve_char_detection)
        3    0.000    0.000    0.008    0.003 <frozen importlib._bootstrap>:1375(_gcd_import)
      445    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
      143    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
     1173    0.002    0.000    0.007    0.000 contextlib.py:145(__exit__)
        1    0.000    0.000    0.007    0.007 url.py:1(<module>)
        1    0.000    0.000    0.007    0.007 socket.py:1(<module>)
22306/21258    0.006    0.000    0.007    0.000 {built-in method builtins.len}
     2353    0.003    0.000    0.007    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.007    0.007 cd.py:1(<module>)
        1    0.000    0.000    0.006    0.006 cookiejar.py:1(<module>)
      143    0.006    0.000    0.006    0.000 {built-in method marshal.loads}
     1191    0.003    0.000    0.006    0.000 <frozen _collections_abc>:808(get)
       76    0.000    0.000    0.006    0.000 _compiler.py:576(_code)
     1174    0.002    0.000    0.005    0.000 contextlib.py:303(helper)
        2    0.000    0.000    0.005    0.003 socket.py:960(getaddrinfo)
        2    0.005    0.003    0.005    0.003 {built-in method _socket.getaddrinfo}
        2    0.000    0.000    0.005    0.002 sessions.py:750(merge_environment_settings)
        2    0.000    0.000    0.005    0.002 utils.py:816(get_environ_proxies)
        1    0.000    0.000    0.005    0.005 header.py:1(<module>)
   858/76    0.002    0.000    0.005    0.000 _compiler.py:37(_compile)
        2    0.000    0.000    0.004    0.002 ssl_.py:225(create_urllib3_context)
        2    0.004    0.002    0.004    0.002 models.py:909(text)
        2    0.000    0.000    0.004    0.002 utils.py:755(should_bypass_proxies)
     2500    0.003    0.000    0.004    0.000 {method '_checkReadable' of '_io._IOBase' objects}
        2    0.000    0.000    0.004    0.002 request.py:2674(proxy_bypass)
        2    0.000    0.000    0.004    0.002 request.py:2660(proxy_bypass_macosx_sysconf)
        2    0.000    0.000    0.004    0.002 ssl.py:430(__new__)
        2    0.004    0.002    0.004    0.002 {built-in method _scproxy._get_proxy_settings}
       22    0.000    0.000    0.004    0.000 enum.py:498(__new__)
    46789    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
     2342    0.003    0.000    0.004    0.000 response.py:766(_error_catcher)
    33949    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.003    0.003 hashlib.py:1(<module>)
       24    0.000    0.000    0.003    0.000 enum.py:251(__set_name__)
     1171    0.002    0.000    0.003    0.000 response.py:277(put)
     1197    0.002    0.000    0.003    0.000 _collections.py:257(__getitem__)
        1    0.000    0.000    0.003    0.003 shutil.py:1(<module>)
     1174    0.003    0.000    0.003    0.000 contextlib.py:108(__init__)
        4    0.000    0.000    0.003    0.001 ssl.py:399(__new__)
        4    0.003    0.001    0.003    0.001 {built-in method _ssl.txt2obj}
        2    0.000    0.000    0.003    0.002 request.py:1(<module>)
        1    0.000    0.000    0.003    0.003 selectors.py:1(<module>)
     1174    0.001    0.000    0.003    0.000 contextlib.py:136(__enter__)
      143    0.003    0.000    0.003    0.000 {built-in method _io.open_code}
       17    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
       17    0.003    0.000    0.003    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.003    0.003 sessions.py:1(<module>)
        1    0.000    0.000    0.003    0.003 adapters.py:1(<module>)
        1    0.000    0.000    0.002    0.002 retry.py:1(<module>)
        1    0.000    0.000    0.002    0.002 base64mime.py:1(<module>)
      195    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:416(__enter__)
        2    0.000    0.000    0.002    0.001 sessions.py:457(prepare_request)
     4342    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.002    0.002 queue.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _local.py:1(<module>)
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
      854    0.002    0.000    0.002    0.000 {built-in method posix.stat}
        2    0.000    0.000    0.002    0.001 abc.py:1(<module>)
       16    0.001    0.000    0.002    0.000 enum.py:1753(convert_class)
      424    0.001    0.000    0.002    0.000 _compiler.py:241(_optimize_charset)
     2500    0.002    0.000    0.002    0.000 {method '_checkClosed' of '_io._IOBase' objects}
       25    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1326(exec_module)
     1171    0.001    0.000    0.002    0.000 response.py:9(is_fp_closed)
      844    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
      214    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.000    0.000    0.002    0.002 packages.py:1(<module>)
        1    0.000    0.000    0.002    0.002 base64.py:1(<module>)
      534    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
     3023    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
     2286    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
       25    0.002    0.000    0.002    0.000 {built-in method _imp.exec_dynamic}
       10    0.000    0.000    0.002    0.000 enum.py:898(_convert_)
        2    0.000    0.000    0.002    0.001 client.py:245(parse_headers)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
       14    0.000    0.000    0.002    0.000 hashlib.py:126(__get_openssl_constructor)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
     1169    0.001    0.000    0.001    0.000 {method 'getvalue' of '_io.BytesIO' objects}
        2    0.000    0.000    0.001    0.001 client.py:231(_parse_header_lines)
     2502    0.001    0.000    0.001    0.000 socket.py:744(readable)
        1    0.000    0.000    0.001    0.001 struct.py:1(<module>)
        2    0.000    0.000    0.001    0.001 models.py:1(<module>)
        2    0.000    0.000    0.001    0.001 parser.py:56(parsestr)
     5004    0.001    0.000    0.001    0.000 ssl.py:1117(_checkClosed)
     6684    0.001    0.000    0.001    0.000 _parser.py:260(get)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
        2    0.000    0.000    0.001    0.001 parser.py:41(parse)
     1463    0.000    0.000    0.001    0.000 <frozen codecs>:322(decode)
        2    0.000    0.000    0.001    0.001 hashlib.py:82(__get_builtin_constructor)
      172    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
     6017    0.001    0.000    0.001    0.000 _parser.py:167(__getitem__)
       89    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
        1    0.000    0.000    0.001    0.001 csv.py:1(<module>)
        2    0.000    0.000    0.001    0.001 connection.py:418(request)
        2    0.000    0.000    0.001    0.001 client.py:425(_close_conn)
        1    0.000    0.000    0.001    0.001 core.py:21(where)
     2344    0.001    0.000    0.001    0.000 client.py:453(isclosed)
        2    0.000    0.000    0.001    0.001 {method 'close' of '_io.BufferedReader' objects}
11057/11049    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
      286    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
        2    0.000    0.000    0.001    0.001 socket.py:782(close)
     2504    0.001    0.000    0.001    0.000 {method '__exit__' of 'memoryview' objects}
        2    0.001    0.001    0.001    0.001 {method 'close' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.001    0.001 heapq.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _common.py:33(wrapper)
        1    0.000    0.000    0.001    0.001 _common.py:51(files)
        2    0.000    0.000    0.001    0.000 feedparser.py:173(feed)
        2    0.000    0.000    0.001    0.000 cookies.py:1(<module>)
        2    0.000    0.000    0.001    0.000 socket.py:491(_decref_socketios)
        5    0.000    0.000    0.001    0.000 socket.py:501(close)
        1    0.000    0.000    0.001    0.001 _common.py:107(from_package)
        6    0.000    0.000    0.001    0.000 typing.py:2998(__new__)
       16    0.000    0.000    0.001    0.000 __init__.py:358(namedtuple)
        2    0.000    0.000    0.001    0.000 ssl.py:1361(_real_close)
     1463    0.001    0.000    0.001    0.000 {built-in method _codecs.utf_8_decode}
    62/58    0.000    0.000    0.001    0.000 typing.py:426(inner)
        4    0.000    0.000    0.001    0.000 feedparser.py:178(_call_parse)
        2    0.000    0.000    0.001    0.000 models.py:351(prepare)
        1    0.000    0.000    0.001    0.001 filepost.py:1(<module>)
        7    0.000    0.000    0.001    0.000 typing.py:2979(_make_nmtuple)
        1    0.000    0.000    0.001    0.001 _common.py:1(<module>)
       76    0.000    0.000    0.001    0.000 _compiler.py:514(_compile_info)
        4    0.000    0.000    0.001    0.000 feedparser.py:218(_parsegen)
        2    0.000    0.000    0.001    0.000 adapters.py:423(get_connection_with_tls_context)
        2    0.000    0.000    0.001    0.000 core.py:1(<module>)
        2    0.000    0.000    0.001    0.000 adapters.py:336(build_response)
     1171    0.001    0.000    0.001    0.000 response.py:494(_decode)
      222    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      311    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
        1    0.000    0.000    0.001    0.001 bisect.py:1(<module>)
     1171    0.001    0.000    0.001    0.000 {method 'append' of 'collections.deque' objects}
