{'01044099999': -10.0, '02293099999': -27.6}
         315347 function calls (310628 primitive calls) in 1.304 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       14    0.000    0.000    0.011    0.001 hashlib.py:126(__get_openssl_constructor)
        2    0.000    0.000    0.011    0.005 models.py:1(<module>)
        1    0.000    0.000    0.011    0.011 core.py:21(where)
        2    0.000    0.000    0.011    0.005 hashlib.py:82(__get_builtin_constructor)
        1    0.000    0.000    0.010    0.010 _common.py:1(<module>)
        1    0.000    0.000    0.010    0.010 _abc.py:1(<module>)
        1    0.000    0.000    0.010    0.010 _common.py:33(wrapper)
        1    0.000    0.000    0.010    0.010 _common.py:51(files)
        1    0.000    0.000    0.010    0.010 _common.py:107(from_package)
      194    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap>:416(__enter__)
    67530    0.009    0.000    0.009    0.000 {method 'index' of 'list' objects}
      213    0.005    0.000    0.009    0.000 <frozen importlib._bootstrap>:304(acquire)
        2    0.000    0.000    0.008    0.004 readers.py:1(<module>)
        1    0.000    0.000    0.008    0.008 fields.py:1(<module>)
  143/140    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
      142    0.008    0.000    0.008    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.007    0.007 parse.py:1(<module>)
        1    0.000    0.000    0.007    0.007 _adapters.py:28(get_resource_reader)
        1    0.000    0.000    0.007    0.007 _adapters.py:149(_native)
        1    0.000    0.000    0.007    0.007 _adapters.py:144(_reader)
        1    0.000    0.000    0.007    0.007 <frozen importlib._bootstrap_external>:1223(get_resource_reader)
       16    0.003    0.000    0.007    0.000 enum.py:1753(convert_class)
     2270    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
        1    0.000    0.000    0.007    0.007 certs.py:1(<module>)
        1    0.000    0.000    0.007    0.007 message.py:1(<module>)
      423    0.004    0.000    0.006    0.000 _compiler.py:241(_optimize_charset)
    46562    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.006    0.006 charset.py:1(<module>)
  564/538    0.003    0.000    0.006    0.000 {built-in method __new__ of type object at 0x1046ac058}
      144    0.006    0.000    0.006    0.000 {method '__exit__' of '_io._IOBase' objects}
       10    0.001    0.000    0.006    0.001 enum.py:898(_convert_)
     6674    0.003    0.000    0.006    0.000 _parser.py:260(get)
      171    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
       25    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1326(exec_module)
        1    0.000    0.000    0.006    0.006 error.py:1(<module>)
        1    0.000    0.000    0.005    0.005 <frozen importlib._bootstrap>:1171(exec_module)
       25    0.005    0.000    0.005    0.000 {built-in method _imp.exec_dynamic}
        6    0.001    0.000    0.005    0.001 typing.py:2998(__new__)
       22    0.000    0.000    0.005    0.000 enum.py:498(__new__)
     5994    0.003    0.000    0.005    0.000 _parser.py:167(__getitem__)
        2    0.000    0.000    0.005    0.002 glob.py:1(<module>)
        7    0.000    0.000    0.005    0.001 typing.py:2979(_make_nmtuple)
      284    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
      221    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
        1    0.000    0.000    0.005    0.005 <frozen ntpath>:1(<module>)
      238    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
       16    0.002    0.000    0.004    0.000 __init__.py:358(namedtuple)
        2    0.000    0.000    0.004    0.002 cookies.py:1(<module>)
    33899    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
13700/12659    0.003    0.000    0.004    0.000 {built-in method builtins.len}
        2    0.004    0.002    0.004    0.002 {built-in method _io.open}
      309    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:632(cached)
       75    0.001    0.000    0.004    0.000 _compiler.py:514(_compile_info)
      167    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
       24    0.000    0.000    0.003    0.000 enum.py:251(__set_name__)
    60/56    0.000    0.000    0.003    0.000 typing.py:426(inner)
        1    0.000    0.000    0.003    0.003 encoders.py:1(<module>)
      213    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:162(__enter__)
      134    0.001    0.000    0.003    0.000 typing.py:173(_type_check)
     8587    0.003    0.000    0.003    0.000 _parser.py:239(__next)
    10569    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
       46    0.000    0.000    0.003    0.000 <frozen abc>:105(__new__)
        1    0.001    0.001    0.003    0.003 constant.py:1(<module>)
        1    0.000    0.000    0.003    0.003 message.py:135(Message)
        1    0.000    0.000    0.003    0.003 calendar.py:1(<module>)
